NIT;SUBSECTOR;VENTAS;GASTOFINANCIERO
800080177;ACUEDUCTO Y ALCANTARILLADO;53325414000;2278465000
800135913;ACUEDUCTO Y ALCANTARILLADO;461988501000;15064459000
800252396;ACUEDUCTO Y ALCANTARILLADO;219467589000;5272974000
810000598;ACUEDUCTO Y ALCANTARILLADO;56784315000;5008162000
816002020;ACUEDUCTO Y ALCANTARILLADO;79442155000;2593840000
820000671;ACUEDUCTO Y ALCANTARILLADO;29312539000;627160000
821002115;ACUEDUCTO Y ALCANTARILLADO;34863685000;1623288000
823004006;ACUEDUCTO Y ALCANTARILLADO;46020197000;356137000
830036211;ACUEDUCTO Y ALCANTARILLADO;42390342000;376120000
890200162;ACUEDUCTO Y ALCANTARILLADO;121492520000;627209000
890600003;ACUEDUCTO Y ALCANTARILLADO;24403302000;774649000
890803239;ACUEDUCTO Y ALCANTARILLADO;30127399000;223609000
891180010;ACUEDUCTO Y ALCANTARILLADO;55290410000;722642000
899999094;ACUEDUCTO Y ALCANTARILLADO;1729896629000;26760433000
900080956;ACUEDUCTO Y ALCANTARILLADO;98272643000;4079986000
900487011;ACUEDUCTO Y ALCANTARILLADO;10248618000;13761000
900651752;ACUEDUCTO Y ALCANTARILLADO;41773947000;1636355000
800013455;AGROQUÍMICOS;27997801000;98866000
800218654;AGROQUÍMICOS;21824265000;615833000
802019339;AGROQUÍMICOS;210788776000;195347000
805031788;AGROQUÍMICOS;67808878000;616106000
817001672;AGROQUÍMICOS;53401996000;49000000
830006716;AGROQUÍMICOS;21575415000;308938000
830028213;AGROQUÍMICOS;38422503000;1203772000
830095890;AGROQUÍMICOS;207159750000;1704233000
860006333;AGROQUÍMICOS;1113122714000;7761824000
890900652;AGROQUÍMICOS;147773615000;512436000
900326523;AGROQUÍMICOS;269827450000;3718047000
900416225;AGROQUÍMICOS;13595570000;152599000
900804080;AGROQUÍMICOS;16304296000;191060000
800012375;ALIMENTOS CONCENTRADOS;223726000000;5366000000
800049083;ALIMENTOS CONCENTRADOS;25645238000;23000000
800149149;ALIMENTOS CONCENTRADOS;402374261000;2482231000
800159629;ALIMENTOS CONCENTRADOS;60472416000;965585000
800221724;ALIMENTOS CONCENTRADOS;73960362000;1871205000
801003898;ALIMENTOS CONCENTRADOS;5471082000;1339439000
811016211;ALIMENTOS CONCENTRADOS;43531039000;739268000
860004828;ALIMENTOS CONCENTRADOS;792694621000;1120370000
860019205;ALIMENTOS CONCENTRADOS;107594197000;1231474000
860026895;ALIMENTOS CONCENTRADOS;1120835771000;4515066000
860048371;ALIMENTOS CONCENTRADOS;81446000000;1640000000
860054073;ALIMENTOS CONCENTRADOS;94193730000;128075000
890200475;ALIMENTOS CONCENTRADOS;25358471000;1086465000
890900291;ALIMENTOS CONCENTRADOS;1427554000000;10895000000
890901271;ALIMENTOS CONCENTRADOS;1473471858000;1356324000
890907163;ALIMENTOS CONCENTRADOS;273312758000;1040127000
890922549;ALIMENTOS CONCENTRADOS;211881947000;2422431000
890936071;ALIMENTOS CONCENTRADOS;100491000000;2476000000
900313945;ALIMENTOS CONCENTRADOS;53173231000;5765000
800244105;ARROZ;18583439000;3693001000
860031606;ARROZ;1100355905000;14116399000
890205091;ARROZ;52901414000;1857788000
890300208;ARROZ;132211024000;1197596000
891100445;ARROZ;1011119181000;8881652000
800249174;ASEO;34717723000;88414000
805001538;ASEO;43840180000;3777532000
807005020;ASEO;60816225000;9013123000
813007077;ASEO;11843953000;650280000
819000939;ASEO;228064581000;2768573000
900054086;ASEO;41331388000;317140000
900229776;ASEO;7142995000;33327000
900234847;ASEO;27335066000;8549000
900235531;ASEO;20412066000;161049000
900332590;ASEO;28831547000;600654000
900383203;ASEO;62036666000;4280155000
91205799;AUTOMOTORES;51125237000;1140813000
800026404;AUTOMOTORES;77836868000;816059000
800029569;AUTOMOTORES;107973933000;1238807000
800030412;AUTOMOTORES;38007491000;524650000
800035606;AUTOMOTORES;127737111000;2584287000
800039439;AUTOMOTORES;66753086000;1040784000
800041829;AUTOMOTORES;176080474000;1884848000
800051817;AUTOMOTORES;13611239000;217508000
800060067;AUTOMOTORES;76062913000;1038143000
800110970;AUTOMOTORES;82932688000;1837658000
800125639;AUTOMOTORES;184483030000;8233153000
800149138;AUTOMOTORES;22405551000;78265000
800159244;AUTOMOTORES;85505194000;612789000
